[113.80669250000001, 22.623473416666666]
[113.80664711428574, 22.62363831428572]
[113.80661300000001, 22.62379913043479]
[113.80667145161287, 22.62394961290322]
[113.80683622727271, 22.623286863636366]
[113.80700869696967, 22.622955696969697]
[113.80723954545459, 22.62644554545454]
[113.80741136224489, 22.626474535714287]
[113.80743175, 22.62658626315789]
[113.80756459090908, 22.624417136363633]
[113.80755903999997, 22.626495480000003]
[113.80758084102567, 22.626593723076933]
[113.80759718518517, 22.62671692592593]
[113.80772270833334, 22.624485833333335]
[113.80774096685079, 22.626622607734816]
[113.80774871739126, 22.626754336956523]
[113.80792107692307, 22.624610615384615]
[113.80791417187501, 22.6266471875]
[113.80793552083327, 22.626753624999978]
[113.80793154166666, 22.626895166666667]
[113.80812438235291, 22.62466170588235]
[113.80811106486486, 22.626788805405393]
[113.80811335087718, 22.626914771929815]
[113.80830100000003, 22.62479283333334]
[113.80828266666667, 22.626794655172425]
[113.80829764179104, 22.626922686567152]
[113.80846066666665, 22.62480933333334]
[113.80845643333332, 22.626800799999998]
[113.80846661971833, 22.62693616901408]
[113.80847829999999, 22.627089000000005]
[113.8086428095238, 22.624935857142862]
[113.80863959259257, 22.62695322222221]
[113.80867046874994, 22.627098104166677]
[113.80882728571429, 22.626965666666667]
[113.80883016417917, 22.62712749751243]
[113.80886354471542, 22.62724477235772]
[113.80899932142864, 22.62713222619048]
[113.80901314838702, 22.627277793548394]
[113.80904150704224, 22.627394577464795]
[113.80918049999998, 22.627116533333332]
[113.80917608677689, 22.6273112975207]
[113.80920931739125, 22.62742255652173]
[113.8093326851852, 22.62731603703703]
[113.80934091463422, 22.62744670243905]
[113.8094070422535, 22.62756461971831]
[113.80956990909091, 22.627250772727272]
[113.8095275423729, 22.62748422598868]
[113.80954976344094, 22.627599032258054]
[113.80973566666668, 22.625490666666668]
[113.80973928571427, 22.62562051428571]
[113.80977823076924, 22.62661723076923]
[113.8097916160714, 22.626800022321437]
[113.80975675720771, 22.626934485584247]
[113.80970941860467, 22.627073534883724]
[113.8097056666667, 22.627288333333336]
[113.80969748062016, 22.62762055813955]
[113.80974283098595, 22.627726971830974]
[113.80990183870969, 22.625645225806444]
[113.80992606666668, 22.625757033333336]
[113.8099444040818, 22.626468420408177]
[113.80993455365787, 22.62661310609751]
[113.80989737222141, 22.626767208888907]
[113.80988229192548, 22.62690086956521]
[113.80989872000005, 22.62777625333333]
[113.8100724642857, 22.62565564285714]
[113.8100970408163, 22.625773612244895]
[113.81009980952376, 22.62592466666667]
[113.81011461290323, 22.62611035483871]
[113.81009022935777, 22.626296174311925]
[113.81006566366905, 22.626459879496377]
[113.81004671933078, 22.62659034758362]
[113.81004127397279, 22.62675674657533]
[113.81005670370372, 22.627793666666676]
[113.81024729032254, 22.625782806451618]
[113.81026173437502, 22.625952156250015]
[113.81025757500001, 22.626125400000006]
[113.81024731764714, 22.626287882352944]
[113.81022993750003, 22.626433975000005]
[113.8102690952381, 22.627935047619044]
[113.81041433333331, 22.626101666666667]
[113.81042876190477, 22.626271285714285]
[113.8135455757576, 22.624479575757572]
[113.81783639024391, 22.65000268292683]
[113.81781097435899, 22.650163179487183]
[113.81798736, 22.64981964]
[113.81797299999998, 22.64998264285714]
[113.81814566666662, 22.649364047619052]
[113.81816644444446, 22.64945886111111]
[113.81835055882352, 22.64947205882353]
[113.81908381818177, 22.64977940909091]
[113.82301050000001, 22.674688249999996]
[113.82299705, 22.67482485]
[113.82337195652175, 22.673210391304348]
[113.82335199999996, 22.673377791666667]
[113.8300944, 22.644690133333334]
[113.83775429166667, 22.729904083333334]
[113.84189023076925, 22.60354061538461]
[113.84211318181819, 22.60306659090909]
[113.84262205263155, 22.603226210526316]
[113.84340699999994, 22.734722]
[113.8438709032258, 22.59940122580645]
[113.84694092105264, 22.736943500000013]
[113.84821754761907, 22.579155500000002]
[113.84830956756755, 22.579196351351356]
[113.85015679999997, 22.627090080000006]
[113.85342018181815, 22.57488804545455]
[113.85393238095234, 22.575370952380954]
[113.85575113793104, 22.58247617241379]
[113.85610612500001, 22.617024541666666]
[113.85607643750005, 22.617135375000004]
[113.85626150000002, 22.61683679545455]
[113.85629009677419, 22.61700248387097]
[113.85628597058822, 22.6171625882353]
[113.8564518965517, 22.583159862068968]
[113.85649679166669, 22.616682916666665]
[113.85645426515146, 22.616837530303027]
[113.85641753389832, 22.61697705084745]
[113.85700469565218, 22.57918347826088]
[113.85714881481483, 22.57884599999999]
[113.85718463043474, 22.579027347826088]
[113.85713388135589, 22.579152389830515]
[113.85713254166667, 22.604222916666668]
[113.85736156097565, 22.578656317073175]
[113.85733555263158, 22.578850263157893]
[113.85729352173914, 22.57897182608696]
[113.85734940909092, 22.583992409090914]
[113.85736816000002, 22.5841288]
[113.85748806666666, 22.578530222222213]
[113.85748862857143, 22.578643142857153]
[113.8578776875, 22.584671562500006]
[113.85791340740741, 22.584784962962956]
[113.85824220454552, 22.58480795454545]
[113.85948213636361, 22.57687781818182]
[113.85949679166667, 22.57705316666667]
[113.85964990909089, 22.577043045454545]
[113.85984348148148, 22.61105214814815]
[113.86001004761904, 22.61104052380952]
[113.86020533333335, 22.570906238095237]
[113.86308177272726, 22.574035681818188]
[113.86328247619048, 22.573859571428574]
[113.86416191428576, 22.56990077142857]
[113.86416366666671, 22.57319996666667]
[113.86436747619047, 22.57306247619048]
[113.8643340689655, 22.573170206896556]
[113.86453181818179, 22.5730235]
[113.8646720285714, 22.570556685714287]
[113.86487431818182, 22.572516909090904]
[113.86506395833334, 22.572395749999995]
[113.86509400000001, 22.572549987654327]
[113.86503490909094, 22.572685818181814]
[113.86524836842108, 22.572407500000008]
[113.86521989285718, 22.572530333333336]
[113.86543200000001, 22.572217249999998]
[113.86540753333333, 22.572359033333335]
[113.86561263636366, 22.571719727272725]
[113.86705214285716, 22.573871380952383]
[113.8670944347826, 22.574025217391306]
[113.86719668888892, 22.574067022222227]
[113.86846338095236, 22.56973685714286]
[113.87043559090908, 22.57499690909091]
[113.87081303030308, 22.592618575757566]
[113.8707852857143, 22.592743]
[113.87116145833333, 22.57451283333333]
[113.87116435714286, 22.57503214285714]
[113.87138042622946, 22.57488581967214]
[113.87148394871794, 22.57484633333334]
[113.87173583333333, 22.591293916666668]
[113.87170026086956, 22.59143886956522]
[113.87171485714283, 22.596113000000003]
[113.87246652000007, 22.56655836]
[113.87262107692308, 22.590117115384615]
[113.87279972727274, 22.566234454545455]
[113.87295287500001, 22.59693929166667]
[113.87315809090909, 22.589171772727273]
[113.87384865384614, 22.58611807692307]
[113.87392904761903, 22.587466857142857]
[113.87402534482757, 22.587477258620687]
[113.8740587857143, 22.587639071428573]
[113.87405652173913, 22.597773391304347]
[113.87423426666663, 22.565229566666666]
[113.87421034374998, 22.587642437499998]
[113.87459387499999, 22.58716240625]
[113.87455445454542, 22.587281303030306]
[113.8749858571429, 22.586829952380953]
[113.87494027272727, 22.58692890909091]
[113.87513141666665, 22.586656527777777]
[113.87509882222224, 22.58679973333333]
[113.87512865217391, 22.595896304347825]
[113.87531126, 22.583687260000005]
[113.87530498214282, 22.583791857142867]
[113.87530831818181, 22.586489681818183]
[113.8754465238095, 22.58364323809524]
[113.87548158823529, 22.58631688235294]
[113.87545085185181, 22.586449296296298]
[113.87569718918918, 22.586005378378378]
[113.87566179661023, 22.586141457627114]
[113.87585889795915, 22.585841204081632]
[113.87583184848488, 22.58597075757576]
[113.87601110714286, 22.583804428571426]
[113.87601807407408, 22.58580822222222]
[113.87621395833337, 22.563597625000003]
[113.87640606896548, 22.55873979310344]
[113.87637131818182, 22.56352213636363]
[113.87641322580646, 22.582491903225808]
