[113.80730333333332, 22.626540533333333]
[113.80744197435898, 22.62645684615385]
[113.8074760496894, 22.62654870807452]
[113.80764413375793, 22.626577286624208]
[113.80766637078652, 22.626711337078646]
[113.80782187037039, 22.626605351851854]
[113.8078454576271, 22.626727220338978]
[113.8078586521739, 22.626862521739124]
[113.80800349230779, 22.626748130769222]
[113.80802797959181, 22.626868816326528]
[113.80817344444448, 22.626771777777773]
[113.80817875806454, 22.62688270967742]
[113.80833325000006, 22.626758388888884]
[113.80836562500001, 22.626902515624987]
[113.80854399999998, 22.626919380952387]
[113.80857390476191, 22.62705359523809]
[113.8087098333333, 22.626934333333327]
[113.80873501020402, 22.62709278571429]
[113.8087419512195, 22.62721195121951]
[113.80887840449445, 22.627108943820236]
[113.80891015934066, 22.627234236263735]
[113.80894310526313, 22.627360947368413]
[113.80908795454546, 22.62709290909091]
[113.80907568715082, 22.627264731843574]
[113.8090977532467, 22.627375214285717]
[113.80922695652174, 22.627272478260856]
[113.80927050949366, 22.627404740506325]
[113.80929917073168, 22.627517975609766]
[113.80943228571437, 22.627439936507937]
[113.80947448529415, 22.62755708823528]
[113.80968318421051, 22.626949815789477]
[113.80967261111113, 22.627049583333346]
[113.80964246666667, 22.627233066666665]
[113.8096010357143, 22.627436714285714]
[113.80961172988512, 22.627580948275853]
[113.80963805, 22.627690433333335]
[113.80985621739127, 22.626440130434784]
[113.80985264705883, 22.62658674509803]
[113.809844058411, 22.62676090654207]
[113.80979098740124, 22.626899636220525]
[113.8097470833334, 22.627021027777776]
[113.80976961538461, 22.627605]
[113.80980408750004, 22.62773631249999]
[113.80998959090908, 22.625743545454544]
[113.81000377215204, 22.62643551898736]
[113.80998241626767, 22.62657736363633]
[113.80995456554302, 22.626727161048713]
[113.80994435064937, 22.626870389610392]
[113.80995453125001, 22.627767937499996]
[113.81014356000003, 22.6257452]
[113.81016846428572, 22.62591896428572]
[113.81018181481478, 22.62608125925926]
[113.81016510204083, 22.62624587755101]
[113.81013237404574, 22.62642024427481]
[113.81011508974359, 22.626560993589745]
[113.8101056818182, 22.626732727272728]
[113.81031365517244, 22.6260763448276]
[113.81355939999999, 22.62446952]
[113.84824733333332, 22.57916138095238]
[113.85636486842105, 22.616967394736843]
[113.85648213793102, 22.61679420689655]
[113.85646721874998, 22.616925312499998]
[113.85705615384617, 22.579150000000006]
[113.857255625, 22.57898025]
[113.8574248387097, 22.57860400000001]
[113.86515300000002, 22.57251640000001]
[113.87144851351351, 22.574853675675687]
[113.87396621052633, 22.587452789473684]
[113.87572036, 22.586087959999997]
[113.87699467741939, 22.584757064516126]
[113.87719291666663, 22.584615333333335]
[113.87914087500003, 22.579797250000002]
[113.88327627586206, 22.558248]
[113.88708066666669, 22.498646111111114]
[113.88723866666666, 22.49879466666667]
[113.89184268749975, 22.569859312500014]
[113.89250873913043, 22.50547830434783]
[113.89407172, 22.56520028]
[113.8940824081633, 22.5738343265306]
[113.89422081481482, 22.565026703703708]
[113.89427200000003, 22.567538629629624]
[113.89426156521742, 22.57397247826087]
[113.89440521739128, 22.567516391304345]
[113.89457523333333, 22.56467496666667]
[113.89480926829268, 22.567037609756103]
[113.89474687500001, 22.574345541666673]
[113.89499534210525, 22.566902684210525]
[113.89494860563377, 22.567002436619717]
[113.89550883870967, 22.570506000000005]
[113.89568162962964, 22.575691777777777]
[113.89564756521739, 22.575791913043478]
[113.8985641785714, 22.571339357142858]
[113.89908674999998, 22.562865541666667]
[113.90017434042561, 22.513272691489362]
[113.90019041935483, 22.513423290322574]
[113.90033305882356, 22.513271147058827]
[113.90034366666667, 22.513422033333335]
[113.90052809375003, 22.51342275]
[113.900879075, 22.561069850000006]
[113.90110336363637, 22.514090181818187]
[113.90105059999996, 22.560919033333338]
[113.90107868750002, 22.56488734375001]
