[113.80665601647466, 22.623715118572598]深圳国际机场
[113.80683622727271, 22.623286863636366]
[113.80700869696967, 22.622955696969697]
[113.80861319315665, 22.627068542110354]
[113.80764364962121, 22.624451484848485]
[113.8082899870933, 22.6247620690153]
[113.80963778787881, 22.627269553030303]
[113.81010619061578, 22.62605452826855]
[113.80983683056743, 22.626771859814806]
[113.8102690952381, 22.627935047619044]
[113.8135455757576, 22.624479575757572]
[113.81787345486764, 22.650049501757053]
[113.81798736, 22.64981964]
[113.81822088997819, 22.64943165585123]
[113.81908381818177, 22.64977940909091]
[113.823003775, 22.674756549999998]
[113.82336197826086, 22.67329409148551]
[113.8300944, 22.644690133333334]
[113.83775429166667, 22.729904083333334]
[113.84189023076925, 22.60354061538461]
[113.84211318181819, 22.60306659090909]
[113.84262205263155, 22.603226210526316]
[113.84340699999994, 22.734722]
[113.8438709032258, 22.59940122580645]
[113.84694092105264, 22.736943500000013]
[113.84826355759331, 22.579175925675678]
[113.85015679999997, 22.627090080000006]
[113.85342018181815, 22.57488804545455]
[113.85393238095234, 22.575370952380954]
[113.85575113793104, 22.58247617241379]
[113.85623523275214, 22.61706040792408]
[113.85635788257574, 22.616837162878788]
[113.8564518965517, 22.583159862068968]
[113.85649679166669, 22.616682916666665]
[113.85706928850404, 22.5791679340457]
[113.85724062990508, 22.578923859267732]
[113.85713254166667, 22.604222916666668]
[113.85744608540459, 22.578609894050846]
[113.85735878454547, 22.584060604545456]
[113.8578955474537, 22.58472826273148]
[113.85824220454552, 22.58480795454545]
[113.85954294570706, 22.576991343434344]
[113.85992676455027, 22.611046335978834]
[113.86020533333335, 22.570906238095237]
[113.86308177272726, 22.574035681818188]
[113.86328247619048, 22.573859571428574]
[113.86416191428576, 22.56990077142857]
[113.86424886781612, 22.573185086781614]
[113.86444964718612, 22.57304298809524]
[113.8646720285714, 22.570556685714287]
[113.86513471145966, 22.572492190227674]
[113.86543200000001, 22.572217249999998]
[113.86561263636366, 22.571719727272725]
[113.86711442217624, 22.573987873521972]
[113.86846338095236, 22.56973685714286]
[113.87043559090908, 22.57499690909091]
[113.8707991580087, 22.592680787878784]
[113.87116145833333, 22.57451283333333]
[113.87116435714286, 22.57503214285714]
[113.8714321874737, 22.57486607650274]
[113.87171804710144, 22.591366393115944]
[113.87171485714283, 22.596113000000003]
[113.87246652000007, 22.56655836]
[113.87262107692308, 22.590117115384615]
[113.87279972727274, 22.566234454545455]
[113.87295287500001, 22.59693929166667]
[113.87315809090909, 22.589171772727273]
[113.87384865384614, 22.58611807692307]
[113.87405588047773, 22.58755640617303]
[113.87405652173913, 22.597773391304347]
[113.87423426666663, 22.565229566666666]
[113.8745741647727, 22.587221854640152]
[113.87500831736413, 22.586852864935064]
[113.87513141666665, 22.586656527777777]
[113.87512865217391, 22.595896304347825]
[113.87535425531745, 22.58370745174604]
[113.87537958501682, 22.58646948905724]
[113.87548158823529, 22.58631688235294]
[113.87573027809476, 22.58603919786042]
[113.87593848601662, 22.585824713151926]
[113.87601110714286, 22.583804428571426]
[113.87638316909481, 22.563556548659673]
[113.87647378448273, 22.558772055642628]
[113.87641322580646, 22.582491903225808]
[113.87656580952381, 22.586980333333333]
[113.8770693027122, 22.584717218870143]
[113.87710228000002, 22.567899200000003]
[113.8772603214286, 22.58231914285714]
[113.87728962790696, 22.58450258139534]
[113.87745619047618, 22.584320904761906]
[113.8781721640212, 22.583582462962966]
[113.87837072727274, 22.568887363636364]
[113.87890699999998, 22.580014136363644]
[113.87908528047429, 22.582704569275364]
[113.87907494545453, 22.57983799999999]
[113.879235030303, 22.579673848484852]
[113.87926013888887, 22.582510138888892]
[113.87942390909089, 22.58645395454545]
[113.87979914285717, 22.592944047619046]
[113.87995500000002, 22.57964215384616]
[113.8800552204969, 22.58987687163561]
[113.88014517391306, 22.56655921739131]
[113.8803406451613, 22.581675096774195]
[113.88034823076926, 22.590122884615386]
[113.88052463636363, 22.57253831818182]
[113.88049615384612, 22.59029019230769]
[113.88072568965518, 22.592632448275857]
[113.8809716904762, 22.593099018518515]
[113.8810503870968, 22.602747000000004]
[113.88130355594406, 22.58446736188811]
[113.88141187499998, 22.57169325]
[113.88141968750001, 22.58430449999999]
[113.88204008012819, 22.580361025641025]
[113.88194134782609, 22.583500695652173]
[113.88212895454544, 22.5833295]
[113.88243142559855, 22.582925626877955]
[113.88320064109627, 22.558198046844637]
[113.88304582051282, 22.558412974358976]
[113.88303365217392, 22.582316217391302]
[113.88319745833331, 22.496706791666664]
[113.88318526086955, 22.56425743478261]
[113.88347166468253, 22.58199498134921]
[113.88354104, 22.55844468]
[113.88356766666662, 22.581840968253953]
[113.88377453571425, 22.581668821428565]
[113.88403988299663, 22.581512551346798]
[113.88392333333336, 22.58808666666666]
[113.88410127027025, 22.572552351351355]
[113.88428270833332, 22.581340999999995]
[113.88446034615383, 22.586972923076925]
[113.88465092, 22.559438320000005]
[113.88464993548389, 22.587133516129033]
[113.88494559876544, 22.56597158068783]
[113.88484333333332, 22.58729729166667]
[113.8850380294118, 22.580839352941172]
[113.88518495454545, 22.57669781818182]
[113.88517011428571, 22.580657828571425]
[113.88534545454544, 22.587644863636363]
[113.88564253030302, 22.587801963744585]
[113.88599842922076, 22.587955696753248]
[113.88626904545454, 22.579686272727272]
[113.88651219285713, 22.56108265416667]
